city,neighborhood,zip_code,street_name,street_number,floor,floor_location,door,property_type,construction_date,renovation_year,number_of_rooms,number_of_bedrooms,number_of_bathrooms,number_of_balconies,number_of_garages,number_of_parking,number_of_floors,number_of_units,living_area,total_area,is_barrier_free,heating_type,has_energy_certificate,has_garage,has_parking,has_balcony,price,lon,lat
Nürnberg,Trierer Straße,90469,Damaschkeweg,6,,,,single_family_house,1970-10-12,,,,,,,,,1.0,99.0,471.0,,,,,False,,331177.0,11.087392000000001,49.401268
Nürnberg,Höfen,90431,Buttendorfer Straße,41,,,,multi_family_house,1945-08-09,,,,,,,,,5.0,360.0,808.0,,,,,False,,1023930.0,11.012395000000001,49.441463
Nürnberg,Hohe Marter,90441,Schweinauer Hauptstraße,91,,,,multi_family_house,1968-06-18,,,,,,,,,7.0,309.0,604.0,,,,,False,,780136.0,11.044603,49.429415
Nürnberg,St. Johannis,90419,Lindengasse,7,,,,multi_family_house,1983-01-21,,,,,,,,,8.0,621.0,290.0,,,,,False,,2324692.0,11.063132999999999,49.457139000000005
Nürnberg,Uhlandstraße,90408,Uhlandstraße,45A,,,,single_family_house,1946-05-09,,,,,,,,,1.0,170.0,608.0,,,,,False,,566142.0,11.075471,49.468304
Nürnberg,Mögeldorf,90482,Kinkelstraße,15,,,,multi_family_house,1979-07-09,,,,,,,,,18.0,1494.0,904.0,,,,,False,,4910442.0,11.130937999999999,49.459417
Nürnberg,Röthenbach West,90449,Creglinger Straße,18,,,,multi_family_house,1962-11-08,,,,,,,,,9.0,686.0,811.0,,,,,False,,2215134.0,11.032141,49.422859
Nürnberg,Westfriedhof,90425,Delsenbachweg,9 b,,,,single_family_house,1994-04-15,,,,,,,,,1.0,134.0,266.0,,,,,False,,504337.0,11.046612,49.466564999999996
Nürnberg,Mooshof,90411,Hellmuth-Hirth-Weg,1,,,,single_family_house,1958-09-22,,,,,,,,,1.0,131.0,258.0,,,,,False,,397813.0,11.103562,49.485537
Nürnberg,Katzwang,90455,Am Lerchenfeld,14,,,,single_family_house,1974-05-14,,,,,,,,,1.0,166.0,805.0,,,,,True,,550743.0,11.060111000000001,49.354616
Nürnberg,Gebersdorf,90449,Raindorfer Weg,13,,,,single_family_house,1970-05-08,,,,,,,,,1.0,115.0,271.0,,,,,False,,353299.0,11.007282,49.431523
Nürnberg,Schniegling,90427,Wetzendorfer Straße,277,,,,multi_family_house,1999-07-17,,,,,,,,,7.0,645.0,783.0,,,,,False,,3676847.0,11.03705,
Nürnberg,Laufamholz,90482,Etzelwanger Straße,17,,,,single_family_house,1953-03-13,,,,,,,,,1.0,110.0,344.0,,,,,False,,383563.0,11.15437,49.463735
Nürnberg,Hasenbuck,90461,Ingolstädter Straße,115,,,,single_family_house,1951-05-16,,,,,,,,,1.0,118.0,258.0,,,,,False,,311977.0,11.094138,49.42681
Nürnberg,Gaismannshof,90431,Genfer Straße,7,,,,single_family_house,1999-08-23,,,,,,,,,1.0,118.0,276.0,,,,,False,,547804.0,11.027474999999999,
Nürnberg,Schleifweg,90409,Creußnerstraße,3,,,,multi_family_house,1907-10-25,,,,,,,,,8.0,809.0,643.0,,,,,False,,2789024.0,11.101647999999999,49.471513
Nürnberg,Buchenbühl,90411,Zum Steinbruch,7,,,,multi_family_house,1921-08-10,,,,,,,,,3.0,241.0,854.0,,,,,False,,751025.0,11.116712000000001,49.504558
Nürnberg,Röthenbach Ost,90449,Ellingstraße,3,,,,single_family_house,1977-07-05,,,,,,,,,1.0,112.0,546.0,,,,,False,,388155.0,11.032971,49.417294999999996
Nürnberg,Gaismannshof,90431,Steinmetzstraße,8,,,,single_family_house,1914-07-22,,,,,,,,,1.0,107.0,266.0,,,,,False,,350734.0,11.033677,49.444583
Nürnberg,"Kornburg, Worzeldorf",90455,Waldmüllerstraße,48,,,,,2022-05-06,,,,,,,,,1.0,119.0,550.0,,,,,False,,478723.0,11.106114,49.372164
Nürnberg,Veilhof,90489,Martin-Behaim-Straße,10,,,,multi_family_house,1984-03-04,,,,,,,,,5.0,467.0,250.0,,,,,False,,1761198.0,11.101227,49.460213
Nürnberg,Röthenbach West,90449,Weiltinger Straße,22,,,,multi_family_house,1991-02-17,,,,,,,,,25.0,1961.0,932.0,,,,,False,,4863482.0,11.022843,49.422881
Nürnberg,"Altstadt, St. Sebald",90403,Tucherstraße,37,,,,multi_family_house,1925-04-10,,,,,,,,,7.0,393.0,288.0,,,,,False,,1101752.0,11.082653,49.454416
Nürnberg,Fischbach,90475,Gotthelfstraße,4,,,,single_family_house,1964-09-25,,,,,,,,,1.0,131.0,610.0,,,,,False,,453302.0,11.196560999999999,49.421156
Nürnberg,Marienberg ,90425,Willy-Schmitzer-Weg,12,,,,single_family_house,1977-05-16,,,,,,,,,1.0,112.0,291.0,,,,,False,,440664.0,11.093327,49.473636000000006
Nürnberg,Fischbach,90475,Fischbacher Hauptstraße,165,,,,,2018-08-18,,,,,,,,,2.0,372.0,901.0,,,,,False,,1132492.0,11.190495,49.420389
Nürnberg,Fischbach,90475,Amtmannsbrücklein,4 f,,,,multi_family_house,1992-09-14,,,,,,,,,2.0,252.0,556.0,,,,,False,,1046074.0,11.181459,49.418917
Nürnberg,Veilhof,90489,Ludwig-Feuerbach-Straße,98,,,,multi_family_house,1918-11-07,,,,,,,,,10.0,609.0,334.0,,,,,False,,1795509.0,11.104215,49.461312
Nürnberg,Fischbach,90475,Augraben,82 B,,,,multi_family_house,1997-07-05,,,,,,,,,1.0,135.0,293.0,,,,,False,,436009.0,11.183118,49.425298
Nürnberg,Großgründlach,90427,Volkacher Straße,20 a,,,,multi_family_house,1950-04-10,,,,,,,,,3.0,301.0,609.0,,,,,False,,600884.0,11.014662,49.527
